Bin,Continent,Location,Sample_type,Sample_type_specific
GCA_032855745.1_PDT001946688.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855725.1_PDT001946689.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855675.1_PDT001946692.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855645.1_PDT001946693.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855505.1_PDT001946724.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855165.1_PDT001946743.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855105.1_PDT001946747.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855025.1_PDT001946751.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855005.1_PDT001946752.1_genomic,North_America,USA,Environment,Env_Built
GCA_032854965.1_PDT001946755.1_genomic,North_America,USA,Environment,Env_Built
GCA_033053585.1_ASM3305358v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053605.1_ASM3305360v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053595.1_ASM3305359v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053835.1_ASM3305383v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053815.1_ASM3305381v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053885.1_ASM3305388v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053905.1_ASM3305390v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053985.1_ASM3305398v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054025.1_ASM3305402v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054045.1_ASM3305404v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054075.1_ASM3305407v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054135.1_ASM3305413v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054105.1_ASM3305410v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054225.1_ASM3305422v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054235.1_ASM3305423v1_genomic,Europe,Netherlands,Food,Food_Powdered
GCA_033445125.1_PDT001974185.1_genomic,North_America,USA,Environment,Env_Built
GCA_033445225.1_PDT001974190.1_genomic,North_America,USA,Environment,Env_Built
GCA_033795295.1_ASM3379529v1_genomic,Asia,China,Food,Food_Other
GCA_033798465.1_ASM3379846v1_genomic,Asia,China,Food,Food_Other
GCA_033798485.1_ASM3379848v1_genomic,Asia,China,Food,Food_Other
GCA_033798505.1_ASM3379850v1_genomic,Asia,China,Food,Food_Powdered
GCA_033896545.1_PDT001995369.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896495.1_PDT001995370.1_genomic,North_America,USA,Food,Food_Other
GCA_033896485.1_PDT001995372.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033897225.1_PDT001995373.1_genomic,North_America,USA,Food,Food_Other
GCA_033896445.1_PDT001995374.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896465.1_PDT001995375.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896425.1_PDT001995380.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897645.1_PDT001995381.1_genomic,North_America,USA,Food,Food_Other
GCA_033897665.1_PDT001995382.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896325.1_PDT001995392.1_genomic,North_America,USA,Environment,Env_Built
GCA_033897545.1_PDT001995397.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033897105.1_PDT001995398.1_genomic,North_America,USA,Environment,Env_Built
GCA_033897045.1_PDT001995405.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896985.1_PDT001995408.1_genomic,North_America,USA,Food,Food_Other
GCA_033896205.1_PDT001995409.1_genomic,North_America,USA,Food,Food_Other
GCA_033897505.1_PDT001995412.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896965.1_PDT001995413.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896165.1_PDT001995414.1_genomic,North_America,USA,Food,Food_Other
GCA_033896925.1_PDT001995415.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896945.1_PDT001995417.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896045.1_PDT001995419.1_genomic,North_America,USA,Food,Food_Other
GCA_033896865.1_PDT001995420.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896825.1_PDT001995422.1_genomic,North_America,USA,Food,Food_Other
GCA_033896125.1_PDT001995423.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896085.1_PDT001995424.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897465.1_PDT001995425.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897395.1_PDT001995428.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896105.1_PDT001995429.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896805.1_PDT001995434.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896745.1_PDT001995437.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896785.1_PDT001995440.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947305.1_PDT001995849.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947245.1_PDT001995851.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947265.1_PDT001995852.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947185.1_PDT001995854.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947145.1_PDT001995855.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947165.1_PDT001995856.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947125.1_PDT001995857.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947105.1_PDT001995858.1_genomic,North_America,USA,Food,Food_Other
GCA_033898285.1_PDT001995859.1_genomic,North_America,USA,Food,Food_Other
GCA_033947085.1_PDT001995860.1_genomic,North_America,USA,Environment,Env_Built
GCA_033898245.1_PDT001995861.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947065.1_PDT001995862.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947045.1_PDT001995864.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947005.1_PDT001995865.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946985.1_PDT001995932.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946965.1_PDT001995933.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946845.1_PDT001995938.1_genomic,North_America,USA,Food,Food_Other
GCA_033946885.1_PDT001995939.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946805.1_PDT001995941.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946825.1_PDT001995942.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946765.1_PDT001995944.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946685.1_PDT001995948.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946665.1_PDT001995949.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946585.1_PDT001995951.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946625.1_PDT001995952.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946605.1_PDT001995953.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946565.1_PDT001995954.1_genomic,North_America,USA,Food,Food_Other
GCA_033945405.1_PDT001996025.1_genomic,North_America,USA,Food,Food_Other
GCA_033945165.1_PDT001996039.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945205.1_PDT001996040.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945185.1_PDT001996041.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945145.1_PDT001996042.1_genomic,North_America,USA,Environment,Env_Built
GCA_033945105.1_PDT001996045.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945065.1_PDT001996048.1_genomic,North_America,USA,Food,Food_Other
GCA_033945005.1_PDT001996050.1_genomic,North_America,USA,Environment,Env_Built
GCA_033944945.1_PDT001996052.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944885.1_PDT001996056.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944865.1_PDT001996057.1_genomic,North_America,USA,Environment,Env_Built
GCA_033944835.1_PDT001996058.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944805.1_PDT001996060.1_genomic,North_America,USA,Environment,Env_Built
GCA_033944765.1_PDT001996061.1_genomic,North_America,USA,Food,Food_Other
GCA_033944625.1_PDT001996069.1_genomic,North_America,USA,Environment,Env_Built
GCA_033944605.1_PDT001996072.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033944525.1_PDT001996074.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944465.1_PDT001996075.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944485.1_PDT001996076.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944505.1_PDT001996079.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033944325.1_PDT001996095.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944245.1_PDT001996096.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944285.1_PDT001996097.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944265.1_PDT001996099.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944165.1_PDT001996104.1_genomic,North_America,USA,Food,Food_Dry
GCA_033944065.1_PDT001996112.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897865.1_PDT001996120.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943965.1_PDT001996123.1_genomic,North_America,USA,Food,Food_Other
GCA_033943945.1_PDT001996125.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033943925.1_PDT001996126.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943905.1_PDT001996127.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033943865.1_PDT001996129.1_genomic,North_America,USA,Environment,Env_Built
GCA_033943845.1_PDT001996130.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943805.1_PDT001996132.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943785.1_PDT001996133.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033943765.1_PDT001996134.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943725.1_PDT001996136.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943665.1_PDT001996138.1_genomic,North_America,USA,Environment,Env_Built
GCA_033943645.1_PDT001996140.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943605.1_PDT001996141.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943245.1_PDT001996177.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943205.1_PDT001996179.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943145.1_PDT001996181.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943185.1_PDT001996182.1_genomic,North_America,USA,Food,Food_Dry
GCA_033943125.1_PDT001996184.1_genomic,North_America,USA,Environment,Env_Built
GCA_033897825.1_PDT001996185.1_genomic,North_America,USA,Environment,Env_Built
GCA_033943025.1_PDT001996190.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942925.1_PDT001996194.1_genomic,North_America,USA,Food,Food_Other
GCA_033942825.1_PDT001996201.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942785.1_PDT001996203.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942765.1_PDT001996204.1_genomic,North_America,USA,Environment,Env_Built
GCA_033942665.1_PDT001996209.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942645.1_PDT001996856.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942565.1_PDT001996858.1_genomic,North_America,USA,Food,Food_Dry
GCA_033942485.1_PDT001996862.1_genomic,North_America,USA,Environment,Env_Built
GCA_033942465.1_PDT001996863.1_genomic,North_America,USA,Food,Food_Other
GCA_033942405.1_PDT001996865.1_genomic,North_America,USA,Food,Food_Dry
GCA_033941505.1_PDT001996912.1_genomic,North_America,USA,Food,Food_Dry
GCA_033941485.1_PDT001996913.1_genomic,North_America,USA,Food,Food_Dry
GCA_033941445.1_PDT001996914.1_genomic,North_America,USA,Food,Food_Dry
GCA_033941365.1_PDT001996919.1_genomic,North_America,USA,Environment,Env_Built
GCA_033941345.1_PDT001996920.1_genomic,North_America,USA,Food,Food_Other
GCA_033941305.1_PDT001996923.1_genomic,North_America,USA,Food,Food_Dry
GCA_033941265.1_PDT001996924.1_genomic,North_America,USA,Food,Food_Other
GCA_033941085.1_PDT001996934.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940985.1_PDT001996938.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940925.1_PDT001996940.1_genomic,North_America,USA,Food,Food_Other
GCA_033940905.1_PDT001996941.1_genomic,North_America,USA,Food,Food_Dry
GCA_033940525.1_PDT001996961.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940505.1_PDT001996962.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940425.1_PDT001996966.1_genomic,North_America,USA,Food,Food_Other
GCA_033940305.1_PDT001996972.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940245.1_PDT001996973.1_genomic,North_America,USA,Environment,Env_Built
GCA_033940285.1_PDT001996974.1_genomic,North_America,USA,Food,Food_Other
GCA_033939765.1_PDT001996998.1_genomic,North_America,USA,Food,Food_Other
GCA_033939785.1_PDT001996999.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033939745.1_PDT001997001.1_genomic,North_America,USA,Food,Food_Other
GCA_033939725.1_PDT001997002.1_genomic,North_America,USA,Food,Food_Other
GCA_033939705.1_PDT001997003.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033939585.1_PDT001997008.1_genomic,North_America,USA,Environment,Env_Built
GCA_033939485.1_PDT001997015.1_genomic,North_America,USA,Environment,Env_Built
GCA_033939465.1_PDT001997016.1_genomic,North_America,USA,Food,Food_Dry
GCA_033963745.1_PDT002007958.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033963665.1_PDT002007959.1_genomic,North_America,USA,Food,Food_Dry
GCA_033963705.1_PDT002007961.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963725.1_PDT002007962.1_genomic,North_America,USA,Food,Food_Dry
GCA_033963625.1_PDT002007963.1_genomic,North_America,USA,Food,Food_Other
GCA_033963645.1_PDT002007965.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963585.1_PDT002007966.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963105.1_PDT002007967.1_genomic,North_America,USA,Food,Food_Dry
GCA_033963505.1_PDT002007971.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963045.1_PDT002007972.1_genomic,North_America,USA,Food,Food_Dry
GCA_033963525.1_PDT002007973.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963445.1_PDT002007975.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033963455.1_PDT002007977.1_genomic,North_America,USA,Environment,Env_Built
GCA_033963405.1_PDT002007979.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033963305.1_PDT002007983.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033963265.1_PDT002007987.1_genomic,North_America,USA,Food,Food_Other
GCA_033962965.1_PDT002007988.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033962855.1_PDT002007991.1_genomic,North_America,USA,Food,Food_Dry
GCA_033962775.1_PDT002007992.1_genomic,North_America,USA,Food,Food_Other
GCA_033962095.1_PDT002008011.1_genomic,North_America,USA,Environment,Env_Built
GCA_033962395.1_PDT002008013.1_genomic,North_America,USA,Environment,Env_Built
GCA_033962355.1_PDT002008014.1_genomic,North_America,USA,Environment,Env_Built
GCA_033962115.1_PDT002008037.1_genomic,North_America,USA,Food,Food_Other
GCA_033961895.1_PDT002008038.1_genomic,North_America,USA,Food,Food_Other
GCA_033961955.1_PDT002008039.1_genomic,North_America,USA,Food,Food_Other
GCA_033961875.1_PDT002008043.1_genomic,North_America,USA,Food,Food_Other
GCA_033961425.1_PDT002008065.1_genomic,North_America,USA,Food,Food_Other
GCA_033961325.1_PDT002008069.1_genomic,North_America,USA,Environment,Env_Built
GCA_033961285.1_PDT002008075.1_genomic,North_America,USA,Food,Food_Other
GCA_033961165.1_PDT002008082.1_genomic,North_America,USA,Food,Food_Other
GCA_033961145.1_PDT002008083.1_genomic,North_America,USA,Food,Food_Dry
GCA_034408565.1_PDT002008084.1_genomic,North_America,USA,Food,Food_Other
GCA_033961095.1_PDT002008086.1_genomic,North_America,USA,Environment,Env_Built
GCA_033961025.1_PDT002008088.1_genomic,North_America,USA,Food,Food_Other
GCA_033961085.1_PDT002008089.1_genomic,North_America,USA,Environment,Env_Built
GCA_033961045.1_PDT002008090.1_genomic,North_America,USA,Food,Food_Other
GCA_033961005.1_PDT002008091.1_genomic,North_America,USA,Food,Food_Dry
GCA_033960925.1_PDT002008095.1_genomic,North_America,USA,Food,Food_Dry
GCA_033960765.1_PDT002008099.1_genomic,North_America,USA,Food,Food_Dry
GCA_033960905.1_PDT002008100.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960705.1_PDT002008103.1_genomic,North_America,USA,Food,Food_Dry
GCA_033960665.1_PDT002008106.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960625.1_PDT002008107.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960885.1_PDT002008108.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960545.1_PDT002008113.1_genomic,North_America,USA,Food,Food_Dry
GCA_033961855.1_PDT002008118.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960825.1_PDT002008121.1_genomic,North_America,USA,Food,Food_Other
GCA_033960425.1_PDT002008122.1_genomic,North_America,USA,Environment,Env_Built
GCA_033960345.1_PDT002008132.1_genomic,North_America,USA,Environment,Env_Built
GCA_033972705.1_PDT002008526.1_genomic,North_America,USA,Environment,Env_Built
GCA_034030155.1_PDT002008533.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033972605.1_PDT002008534.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033972305.1_PDT002008547.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033972405.1_PDT002008556.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_034328365.1_PDT002026018.1_genomic,North_America,USA,Environment,Env_Built
GCA_034513645.1_ASM3451364v1_genomic,Asia,Thailand,Clinical,Clin_Other
GCA_034835875.1_PDT002043339.1_genomic,North_America,USA,Food,Food_Other
GCA_034836775.1_PDT002043346.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034837175.1_PDT002043352.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034835835.1_PDT002043353.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034838535.1_PDT002043355.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836675.1_PDT002043356.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836655.1_PDT002043357.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836615.1_PDT002043359.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034838515.1_PDT002043360.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836595.1_PDT002043361.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836555.1_PDT002043362.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836535.1_PDT002043363.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836515.1_PDT002043365.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836495.1_PDT002043367.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034838495.1_PDT002043369.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836415.1_PDT002043372.1_genomic,North_America,USA,Clinical,Clin_Other
GCA_034836475.1_PDT002043373.1_genomic,North_America,USA,Clinical,Clin_Other
GCA_034837155.1_PDT002043374.1_genomic,North_America,USA,Clinical,Clin_Other
GCA_034836355.1_PDT002043375.1_genomic,North_America,USA,Clinical,Clin_Other
GCA_034838475.1_PDT002043376.1_genomic,North_America,USA,Clinical,Clin_Other
GCA_034836395.1_PDT002043377.1_genomic,North_America,USA,Clinical,Clin_Other